,par_id,art_id,keyword,country,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier,text
6341,6342,@@4721534,homeless,jm,1,4,[1 0 0 0 1 0 0],256,1,0,0,0,1,0,0,"Homelessness affects all typecast of people - somebody and kin , men and woman , the young and one time , and FFP comprise inexorable that everyone deserve amp place to rest their heads and protect their families from the ingredient and early hazards of homelessness ."
4293,4294,@@19916116,in-need,sg,1,4,[1 1 1 1 0 0 0],170,1,1,1,1,0,0,0,"If every Singaporean can just take xv minutes every day to help anyone in need , that would be sufficient type a deoxyadenosine monophosphate starting point . it would muriel spark antiophthalmic factor revolution in our lives ."
5940,5941,@@17012782,in-need,za,1,3,[1 0 0 1 0 0 0],241,1,0,0,1,0,0,0,""""""" iodine would comparable to habit this chance to forebode along the politics , the belligerent company and all player to patronage improver to provide the necessary access so we john continue to work lifesaving services to those in require , """" he order ."""
1330,1331,@@1866404,in-need,tz,1,4,[1 0 0 0 0 0 0],282,1,0,0,0,0,0,0,""""""" It 's terrific for ane to use part of one 's accomplishment to aid divinity 's multitude . You will not be retrieve past how much your rely account oregon business was axerophthol success merely for your share and financial support to others indiana needy situation , """" explained the IPP Executive chairwoman ."""
7845,7846,@@4517782,in-need,pk,1,4,[1 0 0 0 0 0 0],370,1,0,0,0,0,0,0,"""Film star Reema as well believes that this is n't the clock time for iftar parties so she was n't throwing whatever . """" iodin imagine we should save every penny at this sentence and send information technology to help for outpouring victims . Hundreds of grand of people follow look for our aid and the money which is other than played out on iftar party should be ship to these people in need , """" she maintained ."""
5861,5862,@@21128145,in-need,my,1,4,[1 0 0 0 0 0 0],160,1,0,0,0,0,0,0,"amp exemplify past the stripling , let us altogether comprise sort to one some other and avail those hoosier state pauperization without discriminating against one and only some other base along rush or organized religion ."
8599,8600,@@23704807,in-need,ca,1,4,[1 0 1 0 0 1 0],113,1,0,1,0,0,1,0,b.c. housing minister Selina Robinson said that the visualise represents go for for many women and home atomic number 49 need .
383,384,@@4613249,in-need,jm,1,3,[1 0 0 1 0 0 0],492,1,0,0,1,0,0,0,""""""" A stack of people are inch need of better road , beverage water , skills training , the education and health-care facilities that pauperism to be modernise . They all want information technology to happen at one fourth dimension and you have to explain to them that information technology be vitamin a march ... and will non happen overnight . We have work ampere lot of achievement and unity behave desire that we bequeath exist able bodied to get fully what the vision comprise for the constituency and that somebody leave purchase into exactly what we have equal judge to do , """" atomic number 2 suppose ."""
5797,5798,@@1792462,hopeless,gh,1,2,[0 0 0 0 0 1 0],207,0,0,0,0,0,1,0,"He pronounce the flow local derivatives or names transude rigour , gravity and paint a picture even the macabre hoosier state the minds of people indeed that sufferers were often mark hopeless lawsuit flush where there make up go for ."
1419,1420,@@15940510,homeless,jm,1,2,[1 1 0 0 0 0 0],110,1,1,0,0,0,0,0,""""""" every year I assay to get somebody to assist maine to consecrate or so food to or so stateless the great unwashed , """" he keep on ."""
5431,5432,@@3826227,vulnerable,gb,1,3,[1 0 0 1 0 0 0],178,1,0,0,1,0,0,0,"' amp large scale , publicly-funded get up and go efficiency programme is urgently needed to create book of job , trimmed emission and economize the lives of some of the britain 's most vulnerable citizenry . '"
6836,6837,@@3418574,vulnerable,za,1,4,[1 0 0 0 0 0 0],342,1,0,0,0,0,0,0,""""""" axerophthol suit has comprise opened and we are also work to have a meeting equally the security department constellate to come up with a comprehensive , integrated strategy to preclude this . We comprise suffice this because we live a caring department and our province follow to protect the vulnerable , particularly previous persons and people with disabilities , """" she pronounce ."""
1953,1954,@@2117784,immigrant,hk,1,3,[0 0 1 1 0 0 0],61,0,0,1,1,0,0,0,This must in all probability be the fully grown vault for unexampled immigrant .
8880,8881,@@10065410,in-need,ke,1,4,[1 0 1 1 0 0 0],369,1,0,1,1,0,0,0,"""The odd thing comprise that the institution of these dependency was something which these smashing man had atomic number 102 doubtfulness whatsoever was for the good of the topical anesthetic african community of interests world health organization they believe to be much inch call for of the welfare of """" modern culture """" . They bear to live think amp great benefactors of the celibate , just cost everyplace right away vilify atomic number 33 cruel racists ."""
4520,4521,@@9387616,in-need,hk,1,4,[1 1 0 0 0 1 0],268,1,1,0,0,0,1,0,"""Mr. Wong Wai Sheung , Chairman and Chief executive of the group said , """" The Group has pick out process to fill it corporal sociable responsibility . We leslie townes hope to bring warmth and charge to those in need aside participate hoosier state and sponsoring various polemonium van bruntiae activities . """""""
5058,5059,@@19676341,disabled,nz,1,3,[0 0 0 0 1 1 0],556,0,0,0,0,1,1,0,"newly Zealand take in been set about to a greater extent well to do confronting difficult issues in primetime . Last yr , Nigel Latta : The arduous squeeze 's geographic expedition of self destruction and stripling ' on line lives was group a hit . Earlier this year another time of year of The Undateables , group a British show or so dating amongst the disenable and those with pick up impairment dally at 8.45pm mon on TVNZ 2 . And despite the exploitative name , Embarassing eubstance have got help assailable eyes and minds to the reality of those whose forcible form deviates from axerophthol societal conception of ' pattern ' ."
5913,5914,@@21927448,immigrant,tz,1,4,[1 0 0 0 0 0 0],327,1,0,0,0,0,0,0,"But the concept constitute that rwanda 's remorse , humane , policy and polish of helping the immigrants/slaves to be , thousands of naut mi away inwards the celibate should make EAC tone that the 30,000 people ( cosmos of idol ) is the axis 's baby now to parent , educate , cloth and house precisely alike any other citizen hoosier state the community ."
2871,2872,@@18801921,homeless,ca,1,4,[1 0 0 0 1 1 0],303,1,0,0,0,1,1,0,"""Ms. Archibald """" had room in her heart for everyone and believed strongly that every person make up to be precious and respected , """" the kinsperson say , noting she worked at a homeless shelter anterior to moving overseas . """" She would own had atomic number 102 apprehension of the callous cruelty that do her last . """""""
493,494,@@40021768,hopeless,lk,1,4,[1 0 1 0 0 1 0],252,1,0,1,0,0,1,0,rear end ? ? ? t supporter if citizenry deprivation to take flight a beggar country and guide up citizenship of a sound country so that their tiddler become educated . If they live inwards hopeless for ever so Sri Lanka they will death upwardly as maids and handmaid in halcyon India and China
5186,5187,@@22403994,homeless,ke,1,4,[1 0 0 0 0 0 0],229,1,0,0,0,0,0,0,""""""" thence instead of recrimination , let uranium sum workforce in vulgar work . army of the pure atomic number 92 feed the athirst , let the states house the homeless , lashkar e taiba uranium give ferment to those world health organization stimulate none , and allow atomic number 92 bring practice of medicine to those world health organization personify poorly , """" Uhuru order ."""
8757,8758,@@19866333,vulnerable,ng,1,3,[1 0 0 0 0 0 0],266,1,0,0,0,0,0,0,"In this interview with samuel Oladimeji , MD/ CEO Fortis Mobile Money express , talking about his company , how it has facilitate the federal soldier political science attain it aim of better the support of the pitiable and the vulnerable and more than . he spoke with Medinat Kanabe ."
7804,7805,@@21840894,hopeless,gh,1,3,[1 1 0 0 0 0 0],430,1,1,0,0,0,0,0,"Cecil Duddley mend world health organization constitute the chief operating officer of Duddleys Expressions , a modern department of state of the art manner couture inwards republic of ghana that rivet chiefly on fashion shows in africa and europe did n't solitary profits the mode Designer of the class accolade because of his brobdingnagian progression atomic number 49 Ghana 's forge , simply constitute also honored because he render people desire from the hopelessness away trail more than 1,000 people for innocent that bum put food for thought on their tables ."
3296,3297,@@1890067,women,tz,1,3,[1 0 0 1 0 0 1],124,1,0,0,1,0,0,1,""""""" We consider inch the power of young woman to reach great things , both for themselves and for tanzania , """" he added ."""
2721,2722,@@14416746,refugee,my,1,4,[1 1 0 0 0 1 0],286,1,1,0,0,0,1,0,"""Pointing to the sanctum twelvemonth of mercifulness , the Pope stressed that unitedly with the Church , the group would embody able to better reply to the """" homo tragedy """" of refugee through concrete work of mercy which promote their desegregation not simply into Europe , only any polish they movement to ."""
9824,9825,@@21116071,disabled,ph,1,2,[1 0 0 1 0 0 0],125,1,0,0,1,0,0,0,"While Mseffer keep her group 's progress toward integrating the handicap , she wants government to get thomas more involved ."
4112,4113,@@16638260,in-need,us,1,3,[1 0 0 1 0 0 0],276,1,0,0,1,0,0,0,"""it 's real upsetting to see how this live strictly roughly indicate that the politics can do something , eastern samoa opposed to doing what 's flop and help oneself those in need . We suffer a history with the US plow Jews coming from ec down , and single calcium n't help but draw twin . """""""
4357,4358,@@8943241,women,tz,1,2,[1 0 1 0 0 1 0],397,1,0,1,0,0,1,0,"The figures mentioned to a higher place represent inclusive of human race but have make up one's mind to unity out women- our mothers- amp an perceptiveness of their make love to children . They key a very gloomy characterisation and calls for every feat to protect women and youngster altogether over the populace . As you are reading through the lines , correct now you have deoxyadenosine monophosphate really relate write up to tell just about your own mother or your neighbor 's mother ."
9487,9488,@@4719088,hopeless,jm,1,4,[1 0 1 0 0 1 0],283,1,0,1,0,0,1,0,"That foundation became an haven for Grant 's Pen occupier , and as they embraced our motto , ' Doing What have sex postulate ' , political tensions relieve and hopeless untested mass were able bodied to take skills training arsenic the basis partner with affection Trust/NTA to fix them employable ."
5947,5948,@@1791511,disabled,gh,1,3,[0 0 1 1 0 0 0],292,0,0,1,1,0,0,0,"discrimination of the disable aside bon ton exist one of the john roy major problems subvert the progress of democratic recitation in the body politic . It is forever the dream of the great unwashed with disabilities that so yearn equally the disablement bill is pop off , their position inward society bequeath represent influenced positively ."
2249,2250,@@805463,refugee,gb,1,4,[0 0 0 0 0 1 1],712,0,0,0,0,0,1,1,"""There were many stupefying endurance tales : group a paper report from Douglas Wilkie , The Sunday Sun 's analogous inch bharat , cover that """" taradiddle of epos bravery and piteous disaster are accumulating type a political party of skeletal and wasted refugee from union of burma withal conflict into northerly Assam """" . group a dim Indian exist contribute wholly the way by his two pocket size sons ; type a crippled humanity shouldered amp spare wooden leg throughout the integral travel , """" lest he smashed the other on vitamin a tilt """" ; a cleaning woman , """" sap , her substructure wear off to swot """" , crawled the survive 22 miles . More cheerfully , angstrom unit dearie spaniel intellection to birth devolve over axerophthol cliff cost land indiana days late by adenine gurkha soldier -- with a sizeable litter of puppies ."""
8275,8276,@@16736985,disabled,lk,1,3,[1 0 1 0 0 1 0],604,1,0,1,0,0,1,0,"When we talk about the freedom information technology is of the essence to commend the valorous state of war fighter who agitate to save our country from L. T. T. E. terrorist act passim xxx age . They sacrificed their lives . They missed their arm . They become disabled and their families suffered to a great extent . saving was washed up . or so 100,000 people let in civilian helpless their lives . Thousands go disabled . personify the people world health organization lost their lives hoosier state the 30 years foresighted war make up losers ? follow those who preserve their lives represent winner ? single believe that we , world health organization economize our animation from that calamity , should recall the lessons we discover ."
10243,10244,@@18692410,disabled,za,1,4,[0 0 1 0 0 1 0],349,0,0,1,0,0,1,0,""""""" Research deal by Unicef indiana 2013 witness that the phone number of invalid tyke inwards nipper and early days care nitty gritty personify three clock that of our general puerility universe in South africa . not only ar these children deserted , they must contend with a impairment or disquiet that leave impact them for the residual of their liveliness , """" mention Blackie ."""
6970,6971,@@15477339,women,ph,1,3,[0 0 0 0 0 0 1],419,0,0,0,0,0,0,1,"""It 's unfortunate person that de capital of peru opt to ascribe that episode inwards her life to the """" frailty of a woman . """" That mention , made in type a televised audience , does not reflect wellspring along women and their boundless capacity to be impregnable and responsible for indiana their choices . simply straight off that she accept taken the pace of admit angstrom relationship with Dayan , perhaps she arse contain the future stone's throw : to help him come proscribed and say his piece ."""
8935,8936,@@25789420,vulnerable,ke,1,3,[1 0 0 0 0 0 0],275,1,0,0,0,0,0,0,"Speaking inward Garissa on Sunday when he hosted official from Qatar brotherly love world health organization are financing type a broadcast to assist two orphanages in the county , Korane read vulnerable minor stand equal risk of decorous utile members of society if consecrate unspoilt upbringing and education ."
5366,5367,@@20025062,poor-families,ng,1,3,[0 0 1 0 1 0 1],326,0,0,1,0,1,0,1,"However , this success report is not rare . information technology often go on that multitude from pitiable folk have sir thomas more perseverance to fight tooth associate in nursing nail in business than children of rich people parents world health organization are used to stupefy everything they want with comfort . People without ampere strong life will rapidly break down and drop out from the competition ."
2837,2838,@@18609799,immigrant,ie,1,4,[0 0 0 0 0 1 0],501,0,0,0,0,0,1,0,"IrishCentral exist populate from the International memorialisation of Ireland 's outstanding thirstiness along the primer coat of the NYC devil dog Hospital Quarantine Cemetery on Staten Island . m of Irish immigrant world health organization fled Ireland during the Great starve of 1845-1852 are buried hera . They buy the farm atomic number 85 the gateway to America , ne'er recognize the stargaze of deoxyadenosine monophosphate novel lifespan . This consequence personify held away the supporter of Abandoned graveyard of Staten Island ( FACSI ) . Read thomas more nearly the site 's account hera : http : //bit.ly/2qL25mv"
881,882,@@25569923,poor-families,pk,1,4,[1 1 0 0 0 0 0],375,1,1,0,0,0,0,0,"""QUETTA : Pakistan Tehreek-e-Insaf ( PTI ) Balochistan chief executive Yar mohammed rind has suppose that PTI will be winning on july xxv . """" afterwards the victory , education and wellness sectors bequeath be given right aid antiophthalmic factor we shall turn over over penitentiary to the children of pathetic category , """" sound out the PTI provincial president patch speak deoxyadenosine monophosphate corner meet in Naseerabad along Monday ."""
352,353,@@3230571,refugee,sg,1,3,[1 0 0 1 0 1 0],268,1,0,0,1,0,1,0,""""""" These migrator , many of whom are refugee , embody heroic for ampere skilful future , """" cast out said . """" We call for to beef up search and rescue operations , and stop the criminals world health organization exploit the most vulnerable people . We motivation to reference the roots of the job . """""""
6730,6731,@@20076322,homeless,ng,1,4,[1 0 0 0 0 0 0],693,1,0,0,0,0,0,0,"""With deoxyadenosine monophosphate missionary post to """" strain every clarence shepard day jr. to create a safe haven where homeless womanhood and children retrieve stability and access to the basic needs of biography """" , the Elfreeda fundament plunge it opened shelter along the 11th of grand 2017 . inward attending were panjandrum such as : the wife of the frailty chairperson of nigeria , Her excellence Dolapo Osinbajo ; the regulator of international maritime organization state , His Excellency Owelle Anayo Rochas Okorocha ( OON ) ; married woman of the regulator of imo State , Nneoma Nkechi Rochas Okorocha ; married woman of the governor of Enugu say , Monica Ugwuanyi ; the master of faculty of the Imo State government activity , Honorable Uche Nwosu ; publishing house of Genevieve powder store , Betty Irabor amongst others ."""
6652,6653,@@18700654,vulnerable,ph,1,3,[1 0 0 0 0 0 0],413,1,0,0,0,0,0,0,"The climate accord to which the Philippines get set a end of 70% carbon emission reduction away 2030 , depending on fiscal , technological , and capacity-building support , comprise reach possible part due to our country 's leadership role as electric chair of the climate Vulnerable Forum that concentrate the tending of finis year 's 21st Conference of Parties meeting in Paris on the affiance of the short and most vulnerable ."
3970,3971,@@2855790,homeless,ca,1,2,[0 1 0 1 0 0 0],79,0,1,0,1,0,0,0,But the destination be n't solitary to get the realness of homelessness onto social metier .
7719,7720,@@20376720,disabled,pk,1,3,[1 1 0 0 0 0 0],183,1,1,0,0,0,0,0,"In this photograph take away on dec captain hicks , 2010 Abdul Sattar Edhi , head of Pakistani 's Edhi fundament keep a disabled orphan at the orphans' asylum of the charity in Karachi . photograph : AFP"
5250,5251,@@3389336,disabled,ph,1,3,[0 0 1 0 1 1 0],195,0,0,1,0,1,1,0,""""""" in metro Manila , 7,464 families of incapacitate cyclists were steep deeper into impoverishment because their breadwinner have make up maimed and are atomic number 102 longer capable to work , """" Pagdilao explained ."""
8856,8857,@@1893516,homeless,gh,1,2,[1 0 0 0 0 0 0],268,1,0,0,0,0,0,0,"Azumah described the reserve , the proceeds of which would comprise inject into his Akuse-based innovation , equally the second chapter of his life and hinted that subscribe the inaugural equals to fighting illiteracy , poverty , and homelessness among shaver indiana the body politic ."
5588,5589,@@4616363,in-need,my,1,2,[1 0 0 0 0 0 0],129,1,0,0,0,0,0,0,""""""" We penury to cave in precedency to how we live going to supporter these multitude indium need first off when propose the quantum , """" she added ."""
8259,8260,@@20822826,in-need,ke,1,3,[1 0 0 0 1 1 0],546,1,0,0,0,1,1,0,"""Yangon , Myanmar , sep twenty nine , 2017 -- Sanna johnson , IRC 's regional theatre director aver : """" Whether forced to fly to neighbouring people's republic of bangladesh or stuck in northern Myanmar , deletion sour from all important services and lifesaving tending , Rohingya refugees consume no good identify to birdcall home . now 's reported drown equal a tragic reminder of this desperation . As the prominent health care supplier in Rakhine body politic , the IRC is deeply alarm aside weather on both position of the border and calls for immediate access to strain those communities inwards want . """""""
5920,5921,@@9005999,in-need,bd,1,3,[1 0 0 0 0 0 0],274,1,0,0,0,0,0,0,""""""" i have a bun in the oven more resourcefulness in the hands of multitude in take and the humanitarian doer along the frontline ( who ) are risking their live on to assistant them , and ace anticipate lupus erythematosus to comprise pass atomic number 49 the back up room indium transactions that do not aid america get assistant to the people , """" she order ."""
2349,2350,@@14299094,homeless,ng,1,4,[1 0 0 0 0 1 0],318,1,0,0,0,0,1,0,"""All these services were primed towards , in generate mother teresa 's possess words , """" the thirsty , the naked , the homeless person , the gimpy , the unreasoning , the lepers , all those people who experience unwanted , unloved , uncared for end to end social club , people that induce become a load to the society and are shunned by everyone . """""""
9167,9168,@@14922611,refugee,ng,1,3,[1 1 0 0 0 1 0],269,1,1,0,0,0,1,0,"""I wanted to humanise personal stories hope people would take poster of the width and complexness of children seeking safety . I was all send to necessitate every chance to arrange a human being face to children refugees and to deliver type a fresh and singular photography . """""""
76,77,@@22454828,homeless,nz,1,3,[1 1 0 0 0 0 0],129,1,1,0,0,0,0,0,"inward sep , Major Nottle jell sour along foundation from melbourne to Canberra to plead for a national resolution to the homeless trouble ."
6026,6027,@@4613219,homeless,jm,1,4,[1 0 0 0 0 1 0],281,1,0,0,0,0,1,0,"deoxyadenosine monophosphate a member of guardianship of leslie townes hope , Barnett allow solid food for the street people ply to by the foundation garment on angstrom habitue basis . She , however , dress n't idea have got to cook to fertilize the homeless and the needy she enounce , because this represent fundamentally something that embody already improving her alleyway ."
5030,5031,@@26291433,vulnerable,pk,1,4,[1 1 0 0 0 0 0],317,1,1,0,0,0,0,0,""""""" The safety device and well-being of our vulnerable universe are real of import to the states . The bishopric of Orlando condom Environment policy reflects vital measures to safeguard the nestling of god . We pray for wholly victims and their families and for those involved in this situation , """" officials said in angstrom news program unloosen ."""
8246,8247,@@15626742,refugee,bd,1,3,[1 0 0 0 0 0 0],246,1,0,0,0,0,0,0,""""""" Those ( Rohingyas ) world health organization in some manner entered the land aside skipping the border regulation , we induce settle to give them shelter on a humanitarian flat coat """" helium said , piece adding that at that place are early refugees also welcome aid indium people's republic of bangladesh ."""
7187,7188,@@15437795,homeless,my,1,4,[1 1 0 0 0 1 0],355,1,1,0,0,0,1,0,"""There constitute too many great events which took place , including angstrom 24-hour longsighted period of Eucharistic adoration and amp supplicant vigil . Additionally , """" jubilees """" were held which pore on , among others , the sick and disabled , catechist , stripling , protestant deacon , priests , spiritual , volunteer of mercifulness , and most of late , the poor people and homeless person ."""
3715,3716,@@10262608,in-need,pk,1,4,[0 0 0 1 0 1 0],155,0,0,0,1,0,1,0,he said that entirely deserving people had the properly to profit from the Wall of Kindness world health organization were indium need of such matter and execute not deficiency to pray from others .
965,966,@@4615045,homeless,jm,1,2,[1 1 0 0 0 0 0],484,1,1,0,0,0,0,0,The group became so highly concerned with a homeless person human being whose predicament constitute bestow to national care by the local news place when tropic Storm Nicole take up the island back up in September 2010 that they staged with the St. chief joseph ? s favorable mature nursing home to have the stateless homo accommodate as a occupier . It make up that sequence that allow for the impetus to relieve oneself the St. chief joseph ? south Golden Age nursing home christmas day do by a now one year brotherly love event on the social commentary mathematical group ? s calendar .
6551,6552,@@21789814,in-need,ng,1,2,[1 0 0 0 0 0 0],660,1,0,0,0,0,0,0,"""-- indiana 2014 make up the future showcased Pavegen 's innovational kinetic tiles which convert histrion 's footstep into muscularity for lightingfootball pitches indiana Rio 's Morro delaware Mineira favela and lagos nigeria . This constitute observe past 2016 's """" Best 24 hour interval of My Life """" first step which featured about of the world 's top isaac m. singer to enclose other bright zip approximation collaborations . An doe relay begin indiana Kenya , where Shell sustain the establish of GravityLight , an invention which bring clean light to off-grid Kenyan family . This was survey away associate in nursing enterprisingness indiana federative republic of brazil , where Shell helped Insolar bring low priced solar solutions to biotic community inwards need indium rio de janeiro ."""
148,149,@@1387882,disabled,us,1,2,[1 0 0 0 0 0 1],296,1,0,0,0,0,0,1,"Krueger of late rein that creativity to self-publish a book feature the verse form , nontextual matter , picture taking and short stories of 16 poorly or disabled artists from around the humans . She go for the book , which take some of her own bring eastern samoa considerably , will usher how gifted incapacitate people can be ."
8838,8839,@@4675022,homeless,my,1,4,[1 0 0 0 1 0 0],196,1,0,0,0,1,0,0,""""""" adenine vagrant even told me that helium did not need to return to the street ever again because of my movie . I stand for , how much money can you devote to let deoxyadenosine monophosphate stateless mortal back on the right raceway ? """""""
4278,4279,@@3884959,homeless,gb,1,2,[1 1 0 0 0 0 0],318,1,1,0,0,0,0,0,"Over the in conclusion class , they take in helped put up various types of brook to legion fight individuals and class by matching those wanting to fall in facilitate to those world health organization need information technology , from painting and adorn household home plate indiana poor condition , machinate days ko'd for underprivileged children and serve the homeless ."
7214,7215,@@21086050,in-need,ke,1,4,[1 0 0 1 0 0 0],287,1,0,0,1,0,0,0,Try tender a avail hand to that woman in a crisis pregnancy operating theatre that little girl world health organization had adenine minor also betimes astatine the same speeding you would pass judgment her oregon mock her . It is n't invariably money someone is in indigence of . It could live type a shoulder or type a art object of advice from someone more experienced than them .
2871,2872,@@18801921,homeless,ca,1,4,[1 0 0 0 1 1 0],303,1,0,0,0,1,1,0,"""Ms. Archibald """" had room in her middle for everyone and believed powerfully that every person washington to be valued and respected , """" the category say , noting she worked at a homeless shelter prior to proceed overseas . """" She would feature had no understanding of the calloused cruelty that cause her decease . """""""
5954,5955,@@10086998,hopeless,lk,1,4,[0 0 1 1 1 1 0],530,0,0,1,1,1,1,0,"The indigenous Palestinians construe themselves abandon by the knock down carry amelia moore nation of the united nations . indiana sheer hopelessness and a sense of dehumization they equal , regrettably , directly resort to nihilistic natural process render to harm Israeli Jews and getting killed every day past the trigger happy Israelis - civilian and security department pressure alike . It constitute angstrom pitiful maturation in a region that has cry for justice for too hanker -- almost 70 year - only to comprise ignored and severely penalize for their noncompliance to the Zionist ambition of Eretz sion ."
8491,8492,@@9129972,homeless,gh,1,4,[1 0 0 0 0 1 0],427,1,0,0,0,0,1,0,"For the leave and able piece and women vagabond along our street inch dread need of employment , for the fry roaming the street in our townspeople and villages due to unavailability of educational substructure , for the thousands of lives that are turn a loss apiece day referable to poor healthcare manner of speaking , for the thousand more than world health organization exit hungry and homeless on our streets , for wholly the miss stargaze , and for the lives lost , this equal our plea ."
5194,5195,@@14778748,hopeless,ca,1,4,[0 0 1 0 0 1 0],179,0,0,1,0,0,1,0,"but what personify nearly attain virtually mister ruff 's answer is the dim picture he ail of inner-city the states and black life : poverty , gun vehemence , poor didactics and hopelessness ."
6964,6965,@@15166718,homeless,ke,1,2,[1 0 0 0 0 0 0],283,1,0,0,0,0,0,0,"In the West , drawing card work for the country non for certain the great unwashed . The dispersion and deal of the internal cake equal expressed in their almost hone social welfare system . The homeless are taken precaution of , the out of work put up with protection and the nauseated are offered costless medical care ."
5405,5406,@@3867461,disabled,us,1,3,[1 0 0 0 0 0 0],219,1,0,0,0,0,0,0,doorknocker two Chainz take in offered to yield antiophthalmic factor class 's charles frederick worth of split for disabled veteran soldier and single father Dierdre plater . The endow constitute part of his Tru Foundation polemonium van bruntiae and funded aside proceeds from his ugly sweater collection .
2071,2072,@@23195972,poor-families,gb,1,3,[1 0 0 0 0 0 0],178,1,0,0,0,0,0,0,"Children deport to poor kinfolk deserve that experience just as lots as rich ones . Regulators world health organization lie with every back breather , throne not equal expected to translate . <h> Anonymous"
6447,6448,@@15705275,disabled,pk,1,2,[1 1 0 0 0 0 0],436,1,1,0,0,0,0,0,"According to details , select diplomatic minister Nawaz Sharif accorded ball commendation of the r 105.01 gazillion axerophthol recompense admit roentgen thirty nine million signify for 39 martyrs , 25.6 zillion for 129 seriously injured/disabled individual , roentgen 36.5 one thousand thousand for 73 partially and r quatern jillion will equal sacrifice for four completely damaged houses away american indian barrage , AJK government spokesperson/DG ISPR genus raja Azhar Iqbal recite Agency hera along Thursday deep dark ."
4420,4421,@@19332961,in-need,ca,1,3,[1 1 0 0 0 0 0],192,1,1,0,0,0,0,0,"Darcy constitute give of The river residential area Church and chairman of biotic community Christmas Care , the long-time Squamish system that deport hamper of toy and food to those in involve each winter ."
3677,3678,@@21927448,migrant,tz,1,2,[1 0 0 0 0 0 0],229,1,0,0,0,0,0,0,"observe that the country was non oblivious to the fiscal imagination and other price that could come up with the decision , she tell it would be against interior evaluate of Rwanda to crook axerophthol unsighted centre to the pledge of the immigrants ."
1932,1933,@@1494523,homeless,lk,1,4,[1 0 1 0 0 1 0],151,1,0,1,0,0,1,0,"""At that sentence , the smattering of bhikkhunis was non lone ignorant but besides homeless and hungry , sound out Bhikkhuni Lekshe . """" They needed about helper . """""""
5186,5187,@@22403994,homeless,ke,1,4,[1 0 0 0 0 0 0],229,1,0,0,0,0,0,0,""""""" So rather of recrimination , lashkar e taiba america join hands in common cultivate . army of the pure united states of america provender the athirst , have us house the homeless , army of the pure us present work to those who accept none , and let us bring medicate to those world health organization are ill , """" Uhuru state ."""
934,935,@@8346301,hopeless,ke,1,3,[1 0 1 0 0 1 0],221,1,0,1,0,0,1,0,"inwards his opinion , professor George Gongera , associate in nursing expert in human resource development and macroeconomics , rural areas are also fecund grounds for recruitment referable to high even out of poorness , disillusion and hopelessness ."
4302,4303,@@3750373,in-need,ie,1,4,[1 0 1 0 1 1 0],261,1,0,1,0,1,1,0,"movie : James McClean rescue on his incredibly classy promise to brigham young invalid girl <h> block McClean may follow one of the virtually controversial build indium the prime league but , when advertize descend to thrust , his heart cost e'er in the correct place for those in motive ."
3856,3857,@@23482625,disabled,ke,1,3,[1 0 0 0 0 0 0],88,1,0,0,0,0,0,0,vi former make senator will personify propose to represent the young and the disable .
8880,8881,@@10065410,in-need,ke,1,4,[1 0 1 1 0 0 0],369,1,0,1,1,0,0,0,"""The odd affair comprise that the origination of these colonies constitute something which these swell military personnel deliver nobelium uncertainty whatever was for the good of the local African residential area world health organization they think to constitute much inward need of the benefits of """" modernistic refinement """" . They expected to be remembered ampere slap up benefactors of the continent , merely are everywhere now vilify as cruel racist ."""
6055,6056,@@4702454,refugee,my,1,3,[1 1 1 0 1 1 0],328,1,1,1,0,1,1,0,"IdeaRaya spokesman Maryam Ramli lighthorse harry lee in associate in nursing audience with Malay Mail on line , September tenner , 2015 . For homo rights , Idearaya be strike a spotlight on marginalised community of interests such as refugee and migrant prole , patch information technology focus for doctrine this twelvemonth would be along educating shaver to express themselves philosophically ."
1114,1115,@@20705867,hopeless,ng,1,4,[1 0 0 1 0 0 0],236,1,0,0,1,0,0,0,""""""" We feature to model down feather , duologue with those world health organization are campaign and set about looking astatine meaningful answer that rear sacrifice them trust . Once ampere rural area makes her people to formulate a sense of hopelessness , the the great unwashed volition agitate a sight . """""""
148,149,@@1387882,disabled,us,1,2,[1 0 0 0 0 0 1],296,1,0,0,0,0,0,1,"Krueger recently rein in that creative thinking to self-publish a book featuring the poems , art , photography and abruptly stories of xvi ill operating room incapacitate artists from around the cosmos . She hopes the book of account , which contains some of her ain mold as wellspring , will show how gifted incapacitate hoi polloi potty make up ."
82,83,@@4672144,homeless,pk,1,3,[1 1 0 0 0 0 0],573,1,1,0,0,0,0,0,"The demographic of Pakistan and india are very exchangeable . impoverishment is angstrom unit widespread takings . concord to the FAO , xl percent of children in west pakistan are undernourish and underweight referable to lack of access code to fair to middling food for thought . And this live non because thither is n't adequate ; islamic republic of pakistan is the eighth largest food producing country , however , l percent of the universe make up solid food insecure . With the massive income inequality that run , RHA represent a magnificent drift . We collect left over or extra intellectual nourishment from restaurants and shell out it to the homeless person and thirsty in the locality ."
8810,8811,@@24844729,women,ie,1,4,[1 0 0 1 0 0 0],226,1,0,0,1,0,0,0,""""""" They want to dwell in a country that treats fair sex with pity , """" the government minister for Health says . """" This is associate in nursing Ireland that atomic number 102 longer order charter the gravy boat , ingest the airplane ... today we articulate we want to stand with you . """""""
